case_id,feature_id,observed_roc_auc,signed_auc_effect,absolute_auc_effect,null_mean,null_sd,p_maxT,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum,outside_lower_ranked_envelope,outside_upper_ranked_envelope,direction
deepseek_base_merged_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,14254,0.9866666666666667,0.4866666666666667,0.4866666666666667,0.49519999999999975,0.1437654880545241,0.6268656716417911,20,1.0,20,4.136416435241699,4.233100414276123,5.984697341918945,2.675309419631958,3.15128231048584,4.958900451660156,5.681369304656982,3.6956307888031006,3.392076253890991,5.019988059997559,5.4587721824646,5.427630424499512,5.984697341918945,False,False,high_activation_associated_with_failure
deepseek_base_merged_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,8173,0.9733333333333334,0.4733333333333334,0.4733333333333334,0.5045999999999995,0.15563545725687264,0.7810945273631841,20,1.0,20,3.902578353881836,3.894413471221924,5.5100932121276855,2.742811918258667,3.469799757003784,4.382839202880859,4.883880138397217,3.601372718811035,3.597417116165161,4.59506893157959,4.806197166442871,4.756078243255615,5.5100932121276855,False,False,high_activation_associated_with_failure
deepseek_base_merged_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,10532,0.02666666666666667,-0.47333333333333333,0.47333333333333333,0.49833333333333313,0.14275036485650994,0.8557213930348259,20,1.0,20,4.429583549499512,4.3760600090026855,6.3103179931640625,2.597316026687622,3.6227262020111084,5.258029460906982,5.985979080200195,4.922216892242432,5.036342620849609,6.3103179931640625,2.951683521270752,2.7391560077667236,3.623769998550415,False,False,high_activation_associated_with_success
deepseek_base_merged_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,12061,0.02666666666666667,-0.47333333333333333,0.47333333333333333,0.4857333333333333,0.14085144262267515,0.8557213930348259,20,1.0,20,3.4971346855163574,3.4933576583862305,5.119957447052002,2.6272237300872803,2.9236297607421875,3.920236349105835,4.834760665893555,3.8078980445861816,3.808250665664673,5.119957447052002,2.564845323562622,2.724271774291992,2.946826934814453,False,False,high_activation_associated_with_success
deepseek_base_merged_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,4442,0.04,-0.46,0.46,0.49719999999999986,0.14401598676690205,0.8905472636815921,20,1.0,20,3.964097261428833,4.119101524353027,5.768143653869629,2.484201669692993,3.582251787185669,4.454853534698486,4.81057071685791,4.278253555297852,4.159463882446289,5.768143653869629,3.0216288566589355,3.0651485919952393,3.6500329971313477,False,False,high_activation_associated_with_success
deepseek_base_merged_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,6073,0.04,-0.46,0.46,0.49079999999999996,0.14207597341641637,0.8905472636815921,20,1.0,20,3.723156690597534,3.5666303634643555,5.788113117218018,2.442657709121704,3.0701587200164795,4.474825382232666,5.435266971588135,4.102061748504639,4.0843377113342285,5.788113117218018,2.5864412784576416,2.6716692447662354,3.095026969909668,False,False,high_activation_associated_with_success
deepseek_base_merged_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,2227,0.05333333333333334,-0.44666666666666666,0.44666666666666666,0.4889333333333335,0.1434254587659452,0.9900497512437811,20,1.0,20,3.7283618450164795,3.4351377487182617,5.829765796661377,2.473186731338501,3.1485743522644043,4.232823371887207,5.084027290344238,4.043105125427246,4.028976917266846,5.829765796661377,2.7841320037841797,2.656942844390869,3.2142627239227295,False,False,high_activation_associated_with_success
deepseek_base_merged_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,3977,0.05333333333333334,-0.44666666666666666,0.44666666666666666,0.48760000000000014,0.14465597502734198,0.9900497512437811,20,1.0,20,3.2618911266326904,3.172821044921875,5.1811723709106445,1.9181995391845703,2.547898054122925,3.9465084075927734,4.939952850341797,3.6055855751037598,3.4044268131256104,5.1811723709106445,2.2308082580566406,2.0871474742889404,2.9699413776397705,False,False,high_activation_associated_with_success
deepseek_base_merged_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,5986,0.05333333333333334,-0.44666666666666666,0.44666666666666666,0.4866,0.13479859873983172,0.9900497512437811,20,1.0,20,3.4414641857147217,3.3753161430358887,4.8445143699646,2.3913140296936035,2.900688886642456,3.9318575859069824,4.560298442840576,3.722560167312622,3.566211223602295,4.8445143699646,2.5981762409210205,2.7672977447509766,3.002753973007202,False,False,high_activation_associated_with_success
deepseek_base_merged_layer16__a_deepseek_base__humanevalplus__layer16__evaluated_tokens,15239,0.9466666666666667,0.44666666666666666,0.44666666666666666,0.4966666666666667,0.15872127911670889,0.9900497512437811,20,1.0,20,4.1116557121276855,3.972975730895996,7.245121479034424,2.18471097946167,3.4717764854431152,4.757758140563965,5.759890079498291,3.6536269187927246,3.882307291030884,5.681721210479736,5.485741138458252,5.193411350250244,7.245121479034424,False,False,high_activation_associated_with_failure
