rank,feature_id,mean_task_normalized_attribution,attribution_to_task_sd,mean_raw_attribution,support_tasks,positive_attribution_tasks,positive_sign_fraction,mean_active_tokens,mean_max_activation
546,4595,0.00013896357268095016,0.21375751495361328,0.0006121335900388658,14,9,0.6428571428571429,2.4634146341463414,4.107185363769531
547,11091,0.00013805336493533105,0.3570222556591034,0.0009781874250620604,16,11,0.6875,4.512195121951219,1.5446122884750366
548,765,0.00013764345203526318,0.11958209425210953,0.0017944241408258677,17,9,0.5294117647058824,1.0975609756097562,2.31825852394104
549,4433,0.00013731297804042697,0.0677957609295845,0.00021432818903122097,17,9,0.5294117647058824,0.8292682926829268,4.872261047363281
550,14375,0.00013703560398425907,0.2757793366909027,0.001051123719662428,7,7,1.0,0.3170731707317073,0.6758044958114624
551,12858,0.0001368415105389431,0.262612909078598,0.0019441881449893117,10,8,0.8,3.7560975609756095,1.2991818189620972
552,15579,0.00013572120224125683,0.38655900955200195,0.001183633110485971,19,15,0.7894736842105263,3.5853658536585367,1.125349521636963
553,9402,0.00013516702165361494,0.3711903393268585,0.001132118166424334,17,13,0.7647058823529411,2.6341463414634148,4.916348457336426
554,1350,0.00013487291289493442,0.41687479615211487,0.001459674909710884,19,17,0.8947368421052632,2.658536585365854,4.7364888191223145
555,14874,0.00013453495921567082,0.13496534526348114,0.0003743762499652803,15,10,0.6666666666666666,1.024390243902439,1.4605792760849
556,1214,0.00013425252109300345,0.3263339400291443,0.000991985434666276,17,12,0.7058823529411765,1.5853658536585367,2.3168885707855225
557,7712,0.0001335475972155109,0.2666008770465851,0.0011312823044136167,19,12,0.631578947368421,2.707317073170732,4.417093276977539
558,2099,0.00013341871090233326,0.11955821514129639,0.0031064131762832403,16,7,0.4375,1.0,1.103698492050171
559,8599,0.0001332252286374569,0.275257408618927,0.00102256890386343,11,9,0.8181818181818182,0.975609756097561,0.8942118287086487
560,14225,0.00013290363131091,0.18508116900920868,0.0005250031244941056,23,12,0.5217391304347826,5.634146341463414,3.7919528484344482
561,13360,0.0001327882637269795,0.29366204142570496,0.002619589678943157,16,14,0.875,1.951219512195122,2.926820755004883
562,14664,0.00013242772547528148,0.29290181398391724,0.0023333628196269274,12,11,0.9166666666666666,1.6585365853658536,5.095246315002441
563,12555,0.00013168439909350127,0.19010937213897705,0.001019753748551011,13,9,0.6923076923076923,1.7317073170731707,3.724954843521118
564,15041,0.00013155274791643023,0.3393042981624603,0.0006946650100871921,19,15,0.7894736842105263,1.7560975609756098,2.0437979698181152
565,3225,0.00013108989514876157,0.24104274809360504,0.002219638554379344,16,10,0.625,1.6585365853658536,1.4786121845245361
566,3312,0.00013059652701485902,0.09359037131071091,0.002345863962545991,13,3,0.23076923076923078,0.6341463414634146,1.6870471239089966
567,2375,0.0001302826130995527,0.2554914653301239,0.0019639518577605486,12,8,0.6666666666666666,1.0975609756097562,1.0558832883834839
568,13813,0.00012960679305251688,0.03608807921409607,-0.003448053728789091,11,7,0.6363636363636364,1.1219512195121952,1.919319748878479
569,10818,0.00012941124441567808,0.2685950994491577,0.001010242966003716,9,8,0.8888888888888888,0.926829268292683,1.4432651996612549
570,9571,0.00012860805145464838,0.16180776059627533,0.0034476059954613447,29,15,0.5172413793103449,5.7560975609756095,5.4623188972473145
571,15831,0.0001285952894249931,0.13466300070285797,0.0013824282214045525,25,11,0.44,8.146341463414634,2.5995259284973145
572,1351,0.00012707189307548106,0.3269345462322235,0.001682090456597507,6,5,0.8333333333333334,1.048780487804878,3.086749792098999
573,12589,0.00012651887664105743,0.25139856338500977,0.0007888356922194362,5,5,1.0,0.5853658536585366,1.4238932132720947
574,13545,0.00012583851639647037,0.1952088177204132,0.0016759132267907262,10,6,0.6,2.048780487804878,3.5825302600860596
575,8074,0.00012565407087095082,0.39984843134880066,0.0011137728579342365,14,12,0.8571428571428571,1.7317073170731707,5.763235569000244
